Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
7778069,"Vaginal Tear","Vaginal tears during childbirth, also called perineal lacerations or tears, occur when the baby's head is coming through the vaginal opening and is too large for the vagina to stretch around","Vaginal Tear
perineal lacerations
perineal tear","","","Finding","N/A","","Strategic Information"
7778070,"Telephone Number of Person effecting transfer","","Telephone Number of Person effecting transfer","","","Finding","Text","","Strategic Information"
7778071,"Labour events","Events that occurred during delivery of baby","Labour events during delivery
Labour events","Episiotomy
Vaginal Tear","","Question","Coded","","Strategic Information"
7778072,"Received date","Date received at facility","Received date","","","Finding","Date","","Strategic Information"
7778073,"Date of Visit","Date Patient first visited new ART site","Date of Visit","","","Finding","Date","","Strategic Information"
7778074,"Name of Clinician receiving the transfer","","Name of Clinician receiving the transfer","","","Finding","Text","","Strategic Information"
7778075,"Telephone number of Clinician receiving the transfer","","Telephone number of Clinician receiving the transfer","","","Finding","Text","","Strategic Information"
7778076,"Name of Treatment Supporter","","Name of Treatment Supporter","","","Finding","Text","Strategic Information","Strategic Information"
7778077,"Address of Treatment Supporter","","Address of Treatment Supporter","","","Finding","Text","","Strategic Information"
7778078,"Phone number  of Treatment Supporter","","Phone number  of Treatment Supporter","","","Finding","Text","","Strategic Information"
7778079,"Relationship of Treatment Supporter to Client","","Relationship of Treatment Supporter to Client","","","Finding","Text","","Strategic Information"
7778080,"Maternal outcome","Status of pregnant woman after delivery","Maternal outcome","ALIVE
Dead","","Finding","Coded","","Strategic Information"
7778081,"Patient's Address","","Patient's Address","","","Test","Text","","Strategic Information"
7778083,"Child outcome at delivery","","Child outcome at delivery
Child Status at delivery","ALIVE
neonatal death
Still birth","","Question","Coded","","Strategic Information"
7778084,"New client","Woman did not go through ANC in this facility","Is woman an unbooked woman
New client","NO
YES","","Question","Coded","","Strategic Information"
7778085,"Patient came with transfer form","","Patient came with transfer form","NO
YES","","Question","Coded","","Strategic Information"
7778086,"Patient has attended first visit at our site","","Patient has attended first visit at our site
first visit","NO
YES","","Question","Coded","","Strategic Information"
7778087,"Child Follow Up Register Serial No","Serial Number of HIV Exposed Infant in the Child Follow Up Register.","Child Follow Up Serial No
Child Follow Up Register Serial No","","","Question","Text","","Strategic Information"
7778088,"Child HOSP NO","","CHOSP_ID
Child HOSP NO
HIV Exposed Infant Hospital Number
Child Hospital Number
HEI Hospital Number","","","Question","Text","","Strategic Information"
7778089,"HIV Exposed Infant's Date of Birth","Date of birth of HIV Exposed Infant","HIV Exposed Infant's Date of Birth
Child DOB
Child Date of Birth","","","Question","Date","","Strategic Information"
7778090,"Age in months at 1st PCR","Age of HIV exposed infant at the first polymerase chain reaction test","Age in months at first PCR
Age in months at 1st PCR","","","Finding","Numeric","Strategic Information","Strategic Information"
7778091,"Date 1st PCR sample collected","Date first Polymerase Chain Reaction sample of HIV exposed infant was collected.","Date 1st PCR sample was collected
Date first Polymerase Chain Reation sample was collected
Date 1st PCR sample collected","","","Finding","Date","Strategic Information","Strategic Information"
7778092,"Date 1st PCR sample sent","Date 1st PCR sample was sent to PCR lab","Date first Polymerase Chain Reaction sample was sent
Date 1st PCR sample sent","","","Finding","Date","","Strategic Information"
7778093,"Date 1st PCR result received","","Date 1st PCR result received
Date first Polymerase Chain Reaction result was received at facility","","","Finding","Date","","Strategic Information"
7778094,"1st PCR result","","first PCR result
first Polymerase Chain Reaction result
1st PCR result","INDETERMINATE
POSITIVE
NEGATIVE","","Finding","Coded","","Strategic Information"
7778095,"Date caregiver given 1st PCR result received","Date caregiver received 1st PCR result","Date caregiver given 1st PCR result received
Date caregiver given first Polymerase Chain Reaction Result","","","Finding","Date","","Strategic Information"
7778096,"Age in months at 2nd PCR","Age of HIV exposed infant at second PCR test","Age in months at 2nd PCR","","","Finding","Numeric","","Strategic Information"
7778097,"Date 2nd PCR sample collected","Date second PCR sample was collected","Date 2nd PCR sample collected
Date second PCR sample was collected","","","Finding","Date","","Strategic Information"
7778098,"Date 2nd PCR sample sent","Date second PCR test of HIV exposed infants was sent to lab for analysis.","Date second Polymerase Chain Reaction sample was sent
Date 2nd PCR sample sent","","","Finding","Date","","Strategic Information"
7778099,"Date 2nd PCR result received at facility","Date HIV exposed infant's second PCR result was received at facility","Date 2nd PCR result received at facility
Date 2nd PCR result was received at facility","","","Finding","Date","","Strategic Information"
7778100,"2nd PCR Result","Result of second Polymerase Chain Reaction","Second PCR Result
2nd PCR Result","INDETERMINATE
POSITIVE
NEGATIVE","","Finding","Coded","","Strategic Information"
7778101,"Date caregiver was given 2nd PCR result","Date caregiver was given 2nd PCR result","Date caregiver was given 2nd PCR result","","","Finding","Date","","Strategic Information"
7778102,"Child outcome 6 months","Outcome of HIV exposed infants at 6 months after birth","Child outcome 6 months
Child outcome at six months","Dead
Well
Sick","","Finding","Coded","","Strategic Information"
7778103,"Child outcome 12 months","Child outcome after 12 months","Child outcome 12 months
Child outcome at 12 months","Dead
Well
Sick","","Finding","Coded","","Strategic Information"
7778104,"Child outcome 18 months","Outcome of HIV exposed infant after 18 months","Child outcome at 18 months
Child outcome 18 months","Well
Dead
Sick","","Finding","Coded","","Strategic Information"
7778105,"TB Card No","The patient's tuberculosis disease card number","Tuberculosis card Number
TB Card No","","","Question","Text","","Strategic Information"
7778106,"Tuberculosis status date","TB STATUS DATES","Tuberculosis status date","","","Misc","Date","","Strategic Information"
7778107,"Tuberculosis Outcome","Tuberculosis Outcome","Tuberculosis Outcome","","","Question","Text","","Strategic Information"
7778108,"First Line","First line regimen","First Line Regimen
1st Line
First Line","D4T-3TC-EFV
ABC-3TC-NVP
D4T-3TC-NVP
AZT-3TC-TDF
TDF-3TC-EFV
ABC-3TC-EFV
TDF-3TC-NVP
ABC-3TC-AZT
TDF-FTC-NVP
AZT-3TC-NVP
TDF-FTC-EFV
AZT-3TC-EFV","","Question","Coded","Strategic Information","Strategic Information"
7778109,"Second Line","Second line ARV regimens","2nd Line
Second Line
Second Line Regimen","TDF-3TC-IDV/r
TDF-AZT-3TC-SQV/r
TDF-AZT-FTC-SQV/r
AZT-TDF-3TC-LPV/r
AZT-3TC-SQV/r
TDF-3TC-SQV/r
TDF-FTC-SQV/r
ABC-3TC-DDI
DDI-3TC-NVP
D4T-3TC-LPV/r
ABC-3TC-LPV/r
AZT-3TC-ATV/r
AZT-3TC-LPV/r
TDF-FTC-ATV/r
TDF-3TC-LPV/r
TDF-FTC-LPV/r
ABC-DDI-SQV/r
TDF-DDI-IDV/r
ABC-DDI-LPV/r
AZT-TDF-FTC-LPV/r
AZT-3TC-IDV/r
ABC-AZT-LPV/r
TDF-AZT-FTC-IDV/r
TDF-AZT-3TC-IDV/r
TDF-3TC-ATV/r
TDF-AZT-3TC-ATV/r
TDF-FTC-IDV/r","","Question","Coded","Strategic Information","Strategic Information"
7778111,"Regimen Line","What line of regimen is patient on","Regimen Line
Patient Regimen Line","Other regimens
Second Line
First Line","","Question","Coded","","Strategic Information"
7778112,"retrospective forms","","retrospective forms","YES","","Misc","Coded","","Strategic Information"
7778113,"Intrapartum ARV","Intrapartum ARV","Intrapartum ARV","None
UNKNOWN
ZIDOVUDINE/LAMIVUDINE
ZIDOVUDINE
HAART","","Question","Coded","","Strategic Information"
7778114,"Neonatal ARV Prophylaxis","Neonatal ARV Prophylaxis","Neonatal ARV Prophylaxis","Single dose NVP + ZDV x 6 weeks
None
ZDV X 6 weeks
ZIDOVUDINE
Child given NVP for 6 Weeks
UNKNOWN","","Question","Coded","","Strategic Information"
7778115,"Prior ARV prescription for child","Prior ARV prescription for child","Prior ARV prescription for child","","","Question","Text","Strategic Information","Strategic Information"
7778116,"Maternal HIV Status","Maternal HIV Status","Maternal HIV Status","NEGATIVE
POSITIVE
UNKNOWN","","Question","Coded","","Strategic Information"
7778117,"ART infant PMTCT Prophylaxis","ART infant PMTCT Prophylaxis","ART infant PMTCT Prophylaxis","","","Drug","N/A","","Strategic Information"
7778118,"TB CAT 1","TB CAT 1","TB CAT 1","","","Drug","N/A","","Strategic Information"
7778119,"TB CAT 2","TB CAT 2","TB CAT 2","","","Drug","N/A","","Strategic Information"
7778120,"Exposed Baby","Exposed Baby","Exposed Baby","","","Misc","N/A","","Strategic Information"
7778121,"Confirmed HIV Infected Infant/Child","Confirmed HIV Infected Infant/Child","Confirmed HIV Infected Infant/Child","","","Misc","N/A","","Strategic Information"
7778122,"Not Tested","Not Tested","Not Tested","","","Misc","N/A","","Strategic Information"
7778123,"Child HIV Status","Child ARV Status","Child HIV Status
Child ARV Status","Not Tested
Confirmed HIV Infected Infant/Child
Exposed Baby","","Question","Coded","","Strategic Information"
7778124,"TDF-FTC-SQV/r","Tenofovir/Emtricitabine/Saquinavir ARV regimen","TDF-FTC-SQV/r
TDF/FTC/SQVr","","","Misc","N/A","","Strategic Information"
7778125,"TDF-3TC-SQV/r","Tenofovir/Lamivudine/Saquinavir ARV regimen combination","TDF/3TC/SQVr
TDF-3TC-SQV/r","","","Misc","N/A","","Strategic Information"
7778126,"AZT-3TC-SQV/r","Zidovudine/Lamivudine/Saquinavir ARV regimen","AZT/3TC/SQVr
AZT-3TC-SQV/r","","","Misc","N/A","","Strategic Information"
7778127,"AZT-TDF-FTC-LPV/r","Tenofovir/Zidovudine/Emtricitabine/Lopinavir ARV regimen combination","AZT/TDF/FTC/LPVr
AZT-TDF-FTC-LPV/r","","","Misc","N/A","","Strategic Information"
7778128,"AZT-TDF-3TC-LPV/r","Zidovudine/Tenofovir/Lamivudine/Lopinavir ARV regimen code","AZT/TDF/3TC/LPVr
AZT-TDF-3TC-LPV/r","","","Misc","N/A","","Strategic Information"
7778129,"TDF-AZT-FTC-SQV/r","Tenofovir/Zidovudine/Emtricitabine/Saquinavir ARV regimen","TDF/AZT/FTC/SQVr
TDF-AZT-FTC-SQV/r","","","Misc","N/A","","Strategic Information"
7778130,"TDF-AZT-3TC-SQV/r","Tenofovir/Zidovudine/Lamivudine/Saquinavir ARV regimen","TDF/AZT/3TC/SQVr
TDF-AZT-3TC-SQV/r","","","Misc","N/A","","Strategic Information"
7778131,"TDF-FTC-IDV/r","Tenofovir/Emtricitabine/Indinavir ARV regimen combination","TDF/FTC/IDVr
TDF-FTC-IDV/r","","","Misc","N/A","","Strategic Information"
7778132,"TDF-3TC-IDV/r","Tenofovir/Lamivudine/Indinavir ARV regimen combination","TDF-3TC-IDV/r
TDF/3TC/IDVr","","","Misc","N/A","","Strategic Information"
7778133,"AZT-3TC-IDV/r","Zidovudine/Lamivudine/Indinavir ARV regimen combination","AZT/3TC/IDVr
AZT-3TC-IDV/r","","","Misc","N/A","","Strategic Information"
7778134,"TDF-AZT-FTC-IDV/r","Tenofovir/Zidovudine/Emtricitabine/Indinavir ARV regimen combination","TDF/AZT/FTC/IDVr
TDF-AZT-FTC-IDV/r","","","Misc","N/A","","Strategic Information"
7778135,"TDF-AZT-3TC-IDV/r","Tenofovir/Zidovudine/Lamivudine/Indinavir ARV regimen combination","TDF-AZT-3TC-IDV/r
TDF/AZT/3TC/IDVr","","","Misc","N/A","","Strategic Information"
7778136,"ABC-AZT-LPV/r","Abacavir/Zidovudine/Lopinavir ARV regimen combination","ABC-AZT-LPV/r
ABC/AZT/LPVr","","","Misc","N/A","","Strategic Information"
7778137,"TDF-AZT-3TC-ATV/r","Tenofovir/Zidovudine/Lamivudine/Atazanivir","TDF-AZT-3TC-ATV/r
TDF/AZT/3TC/ATVr","","","Misc","N/A","","Strategic Information"
7778139,"D4T-3TC-EFV","Stavudine/Lamivudine/Efavirenz regimen combination","D4T/3TC/EFV
D4T-3TC-EFV","","","Misc","N/A","","Strategic Information"
7778140,"AZT-3TC","Zidovudine/Lamivudine Regimen combination","AZT/3TC
AZT-3TC","","","Misc","N/A","","Strategic Information"
7778141,"Contact person town","Town of the contact person","Contact person town","","","Question","Text","","Strategic Information"
7778142,"Contact person state","State of origin for the contact person","Contact person state","","","Question","Text","","Strategic Information"
7778143,"Additonal comment on medical history","","Additonal comment on medical history","","","Question","Text","","Strategic Information"
7778144,"Other physical examination","","Other physical examination","","","Question","Text","","Strategic Information"
7778145,"Other presumed ARV Side Effects","","Other presumed ARV Side Effects","","","Question","Text","","Strategic Information"
7778146,"PMTCT Treatment date","","PMTCT Treatment date","","","Question","Date","","Strategic Information"
7778147,"ARV Treatment date","","ARV Treatment date","","","Question","Date","","Strategic Information"
7778148,"Relatives and Contact tested HIV positive","","Relatives and Contact tested HIV positive","Child/Children
None
CURRENT SEXUAL PARTNERS
Spouse","","Question","Coded","","Strategic Information"
7778149,"Family members who have been tested","","Family members who have been tested","Sibling
Child/Children
MOTHER
FATHER
None
CURRENT SEXUAL PARTNERS
Spouse","","Question","Coded","","Strategic Information"
7778150,"family members receiving care","","List of family members receiving care
family members receiving care","Child/Children
None
CURRENT SEXUAL PARTNERS
Spouse","","Question","Coded","","Strategic Information"
7778151,"Other current medications specification","","Other current medications specification","","","Question","Text","","Strategic Information"
7778153,"TINIDAZOLE","Tinidazole OI","TINIDAZOLE","","","Drug","N/A","","eHealth System Developer"
7778154,"DOXYCYCLINE","Switch from a first line ARV regimen to a second line ARV regimen.","DOXYCYCLINE","","","Drug","N/A","","eHealth System Developer"
7778155,"SPECTINOMYCIN","","SPECTINOMYCIN","","","Drug","N/A","","eHealth System Developer"
7778156,"TETRACYCLINE","","TETRACYCLINE","","","Drug","N/A","","eHealth System Developer"
7778157,"Amitryptiline","Information not found on patient's folder","Amitryptiline","","","Drug","N/A","","eHealth System Developer"
7778158,"DIHYDOARTEMISIMINE","","DIHYDOARTEMISIMINE","","","Drug","N/A","","eHealth System Developer"
7778159,"TENOFOVIR/LAMIVUDINE/ATAZANAVIR BOOSTED","","TENOFOVIR/LAMIVUDINE/ATAZANAVIR BOOSTED
TDF/3TC/ATVr","","","Drug","N/A","","eHealth System Developer"
7778160,"Previously tested HIV Negative","","Previously tested HIV Negative","YES
NO","","Finding","Coded","","Strategic Information"
7778161,"Client pregnant","","Client pregnant","YES
NO","","Finding","Coded","","Strategic Information"
7778162,"Client informed about HIV transmission routes","","Client informed about HIV transmission routes","YES
NO","","Finding","Coded","","Strategic Information"
7778163,"Client information aboutrisk factors for HIV transmission","","Client information aboutrisk factors for HIV transmission","YES
NO","","Finding","Coded","","Strategic Information"
7778164,"Client informed on preventing HIV transmission methods","","Client informed on preventing HIV transmission methods","YES
NO","","Finding","Coded","","Strategic Information"
7778165,"Client informed about possible test results.","","Client informed about possible test results.","YES
NO","","Finding","Coded","","Strategic Information"
7778166,"Informed consent for HIV testing given","","Informed consent for HIV testing given","YES
NO","","Finding","Coded","","Strategic Information"
7778167,"Coughing for > 2 weeks","","Coughing for > 2 weeks","YES
NO","","Finding","Coded","","Strategic Information"
7778168,"Weight loss of > 3 kg in last 4 weeks","","Weight loss of > 3 kg in last 4 weeks","NO
YES","","Finding","Coded","","Strategic Information"
7778169,"Lymphadenopathy (Swelling of the lymph nodes)","","Lymphadenopathy (Swelling of the lymph nodes)","NO
YES","","Finding","Coded","","Strategic Information"
7778170,"Fever for > 2 weeks","","Fever for > 2 weeks","NO
YES","","Finding","Coded","","Strategic Information"
7778171,"Night sweats for > 2 weeks","","Night sweats for > 2 weeks","NO
YES","","Finding","Coded","","Strategic Information"
7778172,"HIV Request and Result form signed by tester","","HIV Request and Result form signed by tester","NO
YES","","Finding","Coded","","Strategic Information"
7778173,"HIV Request and Result form filled with CT Intake Form","","HIV Request and Result form filled with CT Intake Form","NO
YES","","Finding","Coded","","Strategic Information"
7778174,"Client receive HIV test result","","Client receive HIV test result","NO
YES","","Finding","Coded","","Strategic Information"
7778175,"Client raftered to other services.","","Client raftered to other services.","NO
YES","","Finding","Coded","","Strategic Information"
7778176,"If YES Specify","","If YES Specify","YES","","Finding","Coded","","Strategic Information"
7778177,"Ever had sextual Intercourse","","Ever had sextual Intercourse","NO
YES","","Finding","Coded","","Strategic Information"
7778178,"Received any education/preparation from adherence counsellor","","Received any education/preparation from adherence counsellor
recently received adherence","NO
YES","","Question","Coded","","Strategic Information"
7778179,"Blood transfusion in the last 3 months","","Blood transfusion in the last 3 months","NO
YES","","Finding","Coded","","Strategic Information"
7778180,"Unprotected sex with casual partner in last 3 months ","","Unprotected sex with casual partner in last 3 months","YES
NO","","Finding","Coded","","Strategic Information"
7778181,"Unprotected sex with regular partner in last 3 months","","Unprotected sex with regular partner in last 3 months","NO
YES","","Finding","Coded","","Strategic Information"
7778182,"STI in last 3 months","","STI in last 3 months","NO
YES","","Finding","Coded","","Strategic Information"
7778183,"More than 1 sex partner during last 3 months","","More than 1 sex partner during last 3 months","NO
YES","","Finding","Coded","","Strategic Information"
7778184,"Complaints of vaginal discharge or burning when urinating?","","Complaints of vaginal discharge or burning when urinating?","NO
YES","","Finding","Coded","","Strategic Information"
7778185,"Complaints of urethral discharge or burning when urinating","","Complaints of urethral discharge or burning when urinating","YES
NO","","Finding","Coded","Strategic Information","Strategic Information"
7778186,"Complaints of lower abdominal pains with or without vaginal discharge","","Complaints of lower abdominal pains with or without vaginal discharge","NO
YES","","Finding","Coded","","Strategic Information"
7778187,"Complaints of scrotal swelling and pain","","Complaints of scrotal swelling and pain","NO
YES","","Finding","Coded","","Strategic Information"
7778188,"Complaints of genital sore(s) or swellen inguinal lymph nodes with or without pains?","","Complaints of genital sore(s) or swellen inguinal lymph nodes with or without pains?","YES
NO","","Finding","Coded","","Strategic Information"
7778189,"Counseling done","","Counseling done","NO
YES","","Finding","Coded","","Strategic Information"
7778190,"Risk reduction plan developed","","Risk reduction plan developed","NO
YES","","Finding","Coded","","Strategic Information"
7778191,"Post test disclosure plan developed","","Post test disclosure plan developed","NO
YES","","Finding","Coded","","Strategic Information"
7778192,"Will bring partner(s) for HIV testing?","","Will bring partner(s) for HIV testing?","YES
NO","","Finding","Coded","","Strategic Information"
7778193,"Will bring own child for < 5 years for HIV testing","","Will bring own child for < 5 years for HIV testing","NO
YES","","Finding","Coded","","Strategic Information"
7778194,"Provided with information on FP and dual contraception.","","Provided with information on FP and dual contraception.","NO
YES","","Finding","Coded","","Strategic Information"
7778195,"Client/Partner use FP method (other than condom)","","Client/Partner use FP method (other than condom)","NO
YES","","Finding","Coded","","Strategic Information"
7778196,"Client/partner use condom as (one) FP method","","Client/partner use condom as (one) FP method","NO
YES","","Finding","Coded","","Strategic Information"
7778197,"Correct condom use demonstrated","","Correct condom use demonstrated","NO
YES","","Finding","Coded","","Strategic Information"
7778198,"Condoms provided to client","","Condoms provided to client","NO
YES","","Finding","Coded","","Strategic Information"
7778199,"Other Lab Orders","","Other Lab Orders","","","Test","Text","","eHealth System Developer"
7778200,"Additional Lab Tests","","Additional Lab Tests","","","Finding","Text","","Strategic Information"
7778201,"Other Chemistry Test","","Other Chemistry Test","","","Finding","Text","","Strategic Information"
7778202,"INH prescribed dose","The dosage strength of INH prescribed by the doctor","Isoniazid prescribed dose
INH prescribed dose","100mg
150mg
300mg","","Question","Coded","","Strategic Information"
7778203,"CTX dose prescribed","The dosage strength of Cotrimoxazole prescribed by the clinician.","CTX dose prescribed
CTX dose
Cotrimoxazole dose prescribed","960mg
8mg TMP/ml
120mg
480mg","","Question","Coded","","Strategic Information"
7778204,"Missed Medication Info","","Missed Medication Info
Missed Medication Information","","MISSED MEDICATIONS
ARV/OIs Medication Daily Dosing
NUMBER OF DOSES MISSED YESTERDAY
NUMBER OF DOSES MISSED LAST WEEK
NUMBER OF DOSES MISSED LAST MONTH
MEDICATION DOSE","ConvSet","N/A","","Strategic Information"
7778205,"All of the time","","All of the time","","","Misc","N/A","","Strategic Information"
7778206,"Most of the time","","Most of the time","","","Misc","N/A","","Strategic Information"
7778207,"Rarely","","Rarely","","","Misc","N/A","","Strategic Information"
7778208,"HOW OFTEN DO YOU FEEL THAT YOU HAVE DIFFICULTY TAKING MEDICATION","How often does patient feel that you have difficulty taking your HIV medications on time?","HOW OFTEN DO YOU FEEL THAT YOU HAVE DIFFICULTY TAKING MEDICATION","Never
Rarely
All of the time
Most of the time","","Question","Coded","","Strategic Information"
7778209,"Every day","","Every day","","","Misc","N/A","","Strategic Information"
7778210,"Once a week","","Once a week","","","Misc","N/A","","Strategic Information"
7778211,"4-6 days per week","","4-6 days per week","","","Misc","N/A","","Strategic Information"
7778212,"2-3 days per week","","2-3 days per week","","","Misc","N/A","","Strategic Information"
7778213,"Less than once a week","","Less than once a week","","","Misc","N/A","","Strategic Information"
7778214,"AVERAGE MISSED MEDICATION IN DAYS PER WEEK","On average, how many days PER WEEK would patient say that you missed at least one dose of your HIV medication","AVERAGE MISSED MEDICATION IN DAYS PER WEEK","Every day
Less than once a week
Never
Once a week
2-3 days per week
4-6 days per week","","Question","Coded","","Strategic Information"
7778215,"Within the past week","","Within the past week","","","Misc","N/A","","Strategic Information"
7778216,"1-2 weeks ago","","1-2 weeks ago","","","Misc","N/A","","Strategic Information"
7778217,"3-4 weeks ago","","3-4 weeks ago","","","Misc","N/A","","Strategic Information"
7778218,"Between 1 and 3 months ago","","Between 1 and 3 months ago","","","Misc","N/A","","Strategic Information"
7778219,"More than 3 months ago","","More than 3 months ago","","","Misc","N/A","","Strategic Information"
7778220,"LAST TIME PATIENT MISSED ONE DOSE OF HIV MEDICATION","When was the last time you missed at least one dose of your HIV medication?","LAST TIME PATIENT MISSED ONE DOSE OF HIV MEDICATION
PATIENT MISSED ONE DOSE OF HIV MEDICATION","Within the past week
1-2 weeks ago
Between 1 and 3 months ago
More than 3 months ago
3-4 weeks ago","","Question","Coded","","Strategic Information"
7778221,"WOT","Patient uses Weekly Observed Therapy (WOT) to improve adherence","WOT
Use WOT
Use Weekly Observed Therapy","","","Misc","N/A","","Strategic Information"
7778222,"Use DOT","Use Directly Observed Therapy to improve patient's adherence.","Use Directly Observed Therapy
Use DOT
DOT","","","Misc","N/A","","Strategic Information"
7778223,"Make medication more palatable","Make medication more palatable to improve patient's adherence","Make medication more palatable","","","Misc","N/A","","Strategic Information"
7778224,"Other treatment preparation strategies","Other treatment preparation strategies to improve patient's adherence","Other treatment preparation strategies","","","Question","Text","","Strategic Information"
7778225,"WOT visit dates","visit dates for patient's weekly observed therapy","Weekly Observed Therapy Visit Dates
WOT visit dates","","","Question","Text","","Strategic Information"
7778226,"DOT visit dates","Visit dates of patient's Direct Observed Therapy adherence improvement strategy.","DOT visit dates
Direct Observed Therapy visit dates","","","Finding","Text","","Strategic Information"
7778227,"Support group meeting venue","Where support group meets","Support group meeting venue
Where support group meets","","","Question","Text","","Strategic Information"
7778228,"Support group meeting time","Time support group meets","Time support group meets
Support group meeting time","","","Question","Text","Strategic Information","Strategic Information"
7778229,"Patient education module used","Patient education module used","Patient education module used
Specific Patient Education Module Used","","","Question","Text","","Strategic Information"
7778230,"Time taking pill with daily routine specify","","Time taking pill with daily routine specify","","","Question","Text","","Strategic Information"
7778231,"Other prescribed drugs","Other non coded drugs prescribed by the clinician","Other prescribed drugs","","","Finding","Text","","Strategic Information"
7778232,"Is scheduled visit","","Is scheduled visit","NO
YES","","Finding","Coded","","Strategic Information"
7778233,"Casualty","","Casualty
Casualty/Accident Ward","","","Finding","N/A","","Strategic Information"
7778234,"CBO","","Community Based Organization
CBO","","","Finding","N/A","","Strategic Information"
7778235,"Pre-ART Transfer in","","Pre-ART Transfer in","","","Finding","N/A","","Strategic Information"
7778236,"Ward","","Ward","","","Finding","N/A","","Strategic Information"
7778237,"Current clinic patient","","Current clinic patient","","","Finding","N/A","","Strategic Information"
7778238,"HIV test location","","Where HIV test was done
HIV test location","","","Finding","Text","","Strategic Information"
7778239,"Basic HIV education, transmission","Educated on basic HIV education and transmission","Basic HIV education, transmission","","","Misc","N/A","","Strategic Information"
7778240,"Prevention: abstinence, safe sex","Educated on prevention through abstinence, safe sex","abstinence, safe sex prevention
Prevention: abstinence, safe sex","","","Misc","N/A","","Strategic Information"
7778241,"Prevention: household precautions","Educated on prevention through household precaution","Educated on prevention through household precaution
Prevention: household precautions","","","Misc","N/A","","Strategic Information"
7778242,"Post-test counseling: implication of results","","Post-test counseling: implication of results
Post-test counselled on implication of results","","","Misc","N/A","","Strategic Information"
7778243,"Positive living","Educated on positive living","Educated on positive living
Positive living","","","Misc","N/A","","Strategic Information"
7778244,"Educated on disclosure","Educated on disclosure","Educated on disclosure
Disclosure","","","Misc","N/A","","Strategic Information"
7778245,"Family/living situation","Educated on family and living situation","Family/living situation
Family and living situation","","","Misc","N/A","","Strategic Information"
7778246,"Shared confidentiality","Educated patient on shared confidentiality","Educated on shared confidentiality
Shared confidentiality","","","Misc","N/A","","Strategic Information"
7778247,"Reproductive choices","Educated on reproductive choices","Reproductive choices
Educated on reproductive choices","","","Misc","N/A","","Strategic Information"
7778248,"Educated on PMTCT","Educate patient on prevention through MTCT","Educated on Prevention MTCT
Educated on PMTCT
Prevention of maternal to child transmission of HIV","","","Misc","N/A","","Strategic Information"
7778249,"Child's blood test","Educated patient on child's blood test","Educated on child's blood test
Child's blood test","","","Misc","N/A","","Strategic Information"
7778250,"Progression of disease","Educated on progression of disease","Educated on progression of disease
Progression of disease","","","Misc","N/A","","Strategic Information"
7778251,"Available treatment/prophylaxis","Educate patients on available treatment and prophylaxis option","Educated on available treatment and prophylaxis
Available treatment/prophylaxis","","","Misc","N/A","","Strategic Information"
7778252,"Follow-up appointments","Educated patient on follow up appointment","Educated on follow-up appointments
Follow-up appointments","","","Misc","N/A","","Strategic Information"
7778253,"Clinical team","Educated on clinical team","Clinical team","","","Misc","N/A","","Strategic Information"
7778254,"CTX prophylaxis","Educated on CTX prophylaxis","Educated on CTX prophylaxis
CTX prophylaxis","","","Misc","N/A","","Strategic Information"
7778255,"Educated on INH prophylaxis","Educated on INH prophylaxis","Educated on INH prophylaxis","","","Misc","N/A","","Strategic Information"
7778256,"Educated on ART essencials ","Patient was educated on essencials of ART","ART educated on essencials
Educated on ART essencials","","","Misc","N/A","","Strategic Information"
7778257,"Locally adapted education on ART essencials","","Locally adapted education on ART essencials","","","Misc","N/A","","Strategic Information"
7778258,"Indicate visits Adherence preparation","","Indicate visits Adherence preparation","","","Misc","N/A","","Strategic Information"
7778259,"Explain dose, when to take","Patient was educated on dose and time of taking drugs","Explain dose, when to take","","","Misc","N/A","","Strategic Information"
7778260,"Educated on what can occur","Patient was educated on what can occur","What can occur
Educated on what can occur","","","Misc","N/A","","Strategic Information"
7778261,"How to manage side effects","Patient was educated on how to manage side effects","Educated on how to manage side effects
How to manage side effects","","","Misc","N/A","","Strategic Information"
7778262,"What to do if one forgets dose","What to do if one forgets dose","Educated on what to do if one forgets dose
What to do if one forgets dose","","","Misc","N/A","","Strategic Information"
7778263,"What to do when travelling","","What to do when travelling
Educated on what to do when travelling","","","Misc","N/A","","Strategic Information"
7778264,"Adherence plan  (schedule, aids, explain diary)","Patient was educated on adherence plan, schedule,aids, explain diary","Adherence plan
Adherence plan  (schedule, aids, explain diary)","","","Misc","N/A","","Strategic Information"
7778265,"Treatment supporter preparation","Patient received treatment supporter preparation","Treatment supporter preparation","","","Misc","N/A","","Strategic Information"
7778266,"Which dose, why missed","","Which dose, why missed","","","Misc","N/A","","Strategic Information"
7778267,"ARV support group","Patient was educated on ARV support group","Educated on ARV support group
ARV support group","","","Misc","N/A","","Strategic Information"
7778268,"Why complete adherence needed","Patient was educated on why complete adherence is needed","Why complete adherence needed
Educated on why complete adherence needed","","","Misc","N/A","","Strategic Information"
7778269,"How to contact clinic","Educated on how to contact clinic","Educated on how to contact clinic
How to contact clinic","","","Misc","N/A","","Strategic Information"
7778270,"Symptom management/palliative","Patient was educated on symptom management and palliative","Educated on symptom management and palliative
Symptom management/palliative","","","Misc","N/A","","Strategic Information"
7778271,"care at home","Patient was educated on care at home","care at home
Educated on care at home","","","Misc","N/A","","Strategic Information"
